Borough,Food_Scrap_Drop_Off_Site_Name,Latitude,Longitude,Location,NTAName,Serviced_by,Population,PlaceID,Rating
Bronx,Brook Park,40.80960083007813,-73.918701171875,494 East 141 St.,Mott Haven-Port Morris,Brook Park,52413,ChIJIabH_MP1wokR0sGt3Vkqav0,4.3
Bronx,149th St - Grand Concourse,40.81856155395508,-73.92731475830078,"Grand Concourse, 149th Street - SE Corner",Mott Haven-Port Morris,GrowNYC,52413,ChIJW1qBVdD1wokRXMYmn2pJ5jw,0
Bronx,Brook Ave,40.807559967041016,-73.91922760009766,"138th, Brook Ave - NW Corner",Mott Haven-Port Morris,GrowNYC,52413,ChIJZVFRMsL1wokRkvFLNCKqQv0,3.9
Bronx,OPENING JULY 10: 170 Farmstand,40.83998489379883,-73.91681671142578,"Townsend Ave & 170 St, Bronx",West Concourse,GrowNYC,39282,ChIJiVbLyT70wokRk8W_PF9RhFI,3.2
Bronx,161st Street - Yankee Stadium,40.82781219482422,-73.9259262084961,"161st, River Ave - NE Corner",West Concourse,GrowNYC,39282,ChIJ3VHmDS30wokRh_-pnNP5AmI,0
Bronx,OPEN FOR SEASON: Bronx Borough Hall Greenmarket,40.827369689941406,-73.92280578613281,"Grand Concourse and 161 St, Bronx, NY, 10451",West Concourse,GrowNYC,39282,ChIJ9xmykzL0wokRocE92OkTzLE,4.6
Staten Island,Olivet Heavenly Harvest,40.63019943237305,-74.115966796875,"97 Myrtle Avenue, Staten Island, NY",New Brighton-Silver Lake,Olivet Presbyterian Church,17525,ChIJAQDQB0hOwokRTpQTM6sNNFk,5
Staten Island,Olivet Heavenly Harvest,40.63019943237305,-74.115966796875,"97 Myrtle Avenue, Staten Island, NY",New Brighton-Silver Lake,Olivet Presbyterian Church,17525,ChIJAQDQB0hOwokRTpQTM6sNNFk,5
Staten Island,Olivet Heavenly Harvest,40.63019943237305,-74.115966796875,"97 Myrtle Avenue, Staten Island, NY",New Brighton-Silver Lake,Olivet Presbyterian Church,17525,ChIJAQDQB0hOwokRTpQTM6sNNFk,5
Brooklyn,4th Avenue Presbyterian Church,40.63547134399414,-74.02279663085938,6753 4th Avenue,Bay Ridge,4th Avenue Presbyterian Church,79371,ChIJzzw3PVFFwokRWsc887ntj58,5
Brooklyn,4th Avenue Presbyterian Church,40.63547134399414,-74.02279663085938,6753 4th Avenue,Bay Ridge,4th Avenue Presbyterian Church,79371,ChIJzzw3PVFFwokRWsc887ntj58,5
Brooklyn,4th Avenue Presbyterian Church,40.63547134399414,-74.02279663085938,6753 4th Avenue,Bay Ridge,4th Avenue Presbyterian Church,79371,ChIJzzw3PVFFwokRWsc887ntj58,5
